LGA NAME,Earners,Median Age of Earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Alpine,7154,49,316545753,36669,44247,5.5,1.91,0.35,0.13,0.468,6.2,18.7,30,32.9,29.4,23.7,14
Ararat,5946,47,270296302,39668,45459,4.93,1.8,0.36,0.13,0.451,5.3,17.2,28.3,30.6,28.9,25.7,14.7
Ballarat,53932,43,2933517911,44953,54393,4.66,1.78,0.38,0.16,0.454,8.4,20.4,30.8,25.9,27.1,26.9,20.1
Banyule,72824,43,4786047521,51515,65721,5.04,1.87,0.37,0.16,0.472,8.5,21.5,32.5,23.6,22.9,24.5,28.9
Bass Coast,16986,49,756713226,35998,44549,5.43,1.89,0.35,0.14,0.475,6.5,20,31.6,33.1,31.4,21.4,14.2
Baw Baw,26913,46,1374120849,41961,51058,5.12,1.87,0.36,0.14,0.467,6.2,19.1,30.4,28.5,27.8,24.5,19.2
Bayside,62817,48,6231147537,58909,99195,7.05,2.33,0.33,0.14,0.581,14.1,31.3,43.4,23.1,19.6,19,38.4
Benalla,7438,50,338208100,38821,45470,5.64,1.83,0.32,0.11,0.469,6.1,18.5,29.7,32.2,27.9,24.9,15
Boroondara,109911,45,10526212017,57306,95770,6.91,2.26,0.33,0.14,0.584,14.3,31.7,43.9,23.9,19.5,19.6,37
Brimbank,99557,39,4841172390,42978,48627,4.17,1.7,0.41,0.19,0.411,5.1,16.3,26.9,26.6,29.1,28.4,15.9
Buloke,3382,51,116157792,28980,34346,13.2,2.15,0.16,0.01,0.639,7,21,34.3,42.9,25.2,21.1,10.8
Campaspe,20822,46,946208762,39782,45443,5.42,1.79,0.33,0.11,0.471,6.1,18.1,29.2,31.1,28,25.7,15.3
Cardinia,52004,40,2825463732,47316,54332,3.94,1.69,0.43,0.21,0.413,6.1,17.3,27.6,22.5,28,29.4,20.2
Casey,161779,40,8572543704,46719,52989,3.87,1.67,0.43,0.22,0.403,5.7,16.8,27.1,22.7,28.5,30.1,18.7
Central Goldfields,5607,48,224392854,35144,40020,5.6,1.76,0.31,0.11,0.464,6.5,18.3,29.2,34.4,31.1,24.6,9.9
Colac-Otway,12418,46,567219966,39721,45677,5.13,1.73,0.34,0.12,0.46,6.8,18.7,29.5,30.2,28.5,27.4,13.8
Corangamite,9090,48,401013379,37852,44116,5.85,1.86,0.32,0.1,0.498,5.8,18.5,30.2,32.3,28.2,24.3,15.2
Darebin,81790,38,4874549434,48679,59598,4.64,1.82,0.39,0.19,0.446,6.8,19.2,30.3,24,25,26.3,24.7
East Gippsland,23136,50,1038250921,37018,44876,5.47,1.85,0.34,0.12,0.476,6.9,20,31.3,32.4,30.5,22.8,14.2
Frankston,74898,42,4042947719,47260,53979,4,1.69,0.42,0.2,0.41,5.6,16.9,27.3,22.8,27.7,29.5,19.9
Gannawarra,5600,49,226175022,35804,40388,6.01,1.79,0.3,0.07,0.518,6.4,19.2,30.9,34.4,30.3,23.5,11.8
Glen Eira,86962,42,6393229749,53099,73518,5.46,2,0.37,0.16,0.504,9.7,23.9,35.7,23.5,22,22.8,31.8
Glenelg,10535,48,545999598,42409,51827,5.52,1.96,0.36,0.14,0.459,5.8,17.6,28.7,28.1,27.1,23.3,21.5
Golden Plains,12145,44,642956632,45217,52940,4.62,1.8,0.39,0.16,0.438,6,17.6,28.3,25.4,27,26.6,20.9
Greater Bendigo,59396,44,3081432157,44261,51879,4.68,1.76,0.38,0.15,0.442,6.6,18.5,29.2,26.4,27.6,27.1,18.8
Greater Dandenong,75264,38,3333148348,39845,44286,4.11,1.67,0.41,0.19,0.411,5.1,16.2,26.7,28.8,31.6,27.5,12.1
Greater Geelong,127878,43,7139301767,45141,55829,4.87,1.84,0.38,0.16,0.459,7.6,20.2,31.1,26,26.7,25.5,21.8
Greater Shepparton,35175,43,1702660343,41806,48405,4.67,1.75,0.38,0.16,0.446,6.7,18.4,29.1,28.3,28.6,27.1,16
Hepburn,8084,49,385698096,37838,47711,5.49,1.91,0.35,0.12,0.494,8.6,21.6,32.8,31.9,28.6,23.4,16
Hindmarsh,2983,50,115822593,36147,38828,7.72,1.81,0.23,0.03,0.59,6.4,20.4,32.9,36.1,28.2,23.4,12.2
Hobsons Bay,50281,41,3306782921,53505,65766,4.59,1.81,0.4,0.2,0.445,7.1,19.5,30.5,21.4,23.2,26.6,28.8
Horsham,11642,46,532550301,41072,45744,5.54,1.76,0.32,0.1,0.486,6.2,18.3,29.6,30,28.3,26.2,15.5
Hume,96993,39,5003383535,45331,51585,3.98,1.7,0.43,0.21,0.408,5.3,16.5,26.9,24.2,28.6,29.1,18.2
Indigo,9470,48,480408635,44465,50730,4.98,1.76,0.35,0.13,0.444,5.8,17.4,28.1,26.9,26.7,27.2,19.2
Kingston,89217,43,5380591264,49506,60309,4.67,1.83,0.39,0.18,0.448,6.6,19,30.1,23.6,24.6,26.2,25.6
Knox,92522,43,5134504019,47258,55495,4.43,1.77,0.4,0.17,0.429,5.8,17.6,28.4,24.1,26.4,27.4,22.1
Latrobe,36880,44,2162893310,46527,58647,5.19,1.96,0.38,0.16,0.46,5.5,18.4,30.4,25.2,26,24,24.8
Loddon,3612,51,134597804,30965,37264,8.25,1.95,0.24,0.03,0.569,8.7,21.9,34,40.4,28.1,21.2,10.3
Macedon Ranges,26711,46,1664280247,48734,62307,5.18,1.93,0.37,0.15,0.474,7.5,20.4,31.8,24.8,24.3,23.6,27.3
Manningham,71403,47,4648268289,45208,65099,6.15,2.11,0.34,0.13,0.526,10.5,25,37.1,28.4,23.7,21,26.9
Mansfield,4907,50,219174950,34811,44666,6.05,1.97,0.33,0.11,0.502,7.9,21.6,33.2,34.5,30.1,21.1,14.3
Maribyrnong,47414,36,2809189015,49523,59248,4.55,1.81,0.4,0.2,0.433,5.8,17.8,28.8,23.3,25,26.2,25.5
Maroondah,64889,43,3711248956,48386,57194,4.63,1.79,0.39,0.17,0.434,5.5,17.5,28.5,24.1,25.2,26.7,24
Melbourne,78681,32,5515073959,47273,70094,6.51,2.04,0.31,0.14,0.55,14.4,29,40.3,29,21.3,22,27.7
Melton,69110,39,3792467095,49402,54876,3.85,1.66,0.43,0.23,0.39,4.6,15.3,25.6,21.3,26.7,30.7,21.3
Mildura,29024,44,1390993315,41184,47926,4.75,1.76,0.37,0.16,0.45,6.5,18.5,29.3,28.5,29.5,26.3,15.7
Mitchell,21358,43,1140682035,47325,53408,4.12,1.72,0.42,0.2,0.411,5,16,26.5,23.3,27.2,28.9,20.6
Moira,15410,47,678453408,38265,44027,5.57,1.83,0.33,0.1,0.484,6.3,18.2,29.5,31.8,28.9,24.9,14.4
Monash,102911,43,5998251358,44817,58286,5.99,1.99,0.33,0.13,0.492,7.8,21.1,32.9,28.9,23.6,23,24.5
Moonee Valley,69124,42,4791426921,53959,69316,4.95,1.86,0.38,0.18,0.47,8.2,21.4,32.8,22.1,22.5,24.6,30.7
Moorabool,17539,44,998028699,48582,56903,4.44,1.78,0.4,0.18,0.428,5.7,17.2,27.9,23.5,25.6,26.9,24
Moreland,92396,37,5406308120,49012,58512,4.52,1.8,0.4,0.19,0.434,5.9,17.8,28.8,23.5,25.2,26.3,24.9
