            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,,Median age of earners (years),,,,,,,Sum ($),,,,,,,Median ($),,,,,,,Mean ($),,,,,,,,,,,,,
LGA,LGA NAME,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,,,,,,,
Australia ,," 12,268,900 "," 12,449,976 "," 12,703,715 "," 13,102,895 "," 13,358,252 "," 13,678,024 "," 14,069,082 ", 42 , 42 , 42 , 42 , 42 , 42 , 42 ," 681,646,510,730 "," 722,858,965,324 "," 759,712,820,057 "," 799,748,049,060 "," 827,875,051,087 "," 856,159,475,083 "," 903,888,674,402 "," 42,987 "," 44,778 "," 45,828 "," 46,854 "," 47,692 "," 48,360 "," 49,805 "," 55,559 "," 58,061 "," 59,802 "," 61,036 "," 61,975 "," 62,594 "," 64,246 ",,,,,,,
New South Wales,," 3,824,011 "," 3,871,906 "," 3,953,705 "," 4,091,347 "," 4,191,542 "," 4,344,997 "," 4,466,941 ", 42 , 42 , 42 , 42 , 42 , 42 , 42 ," 217,709,426,015 "," 229,617,831,286 "," 242,519,496,944 "," 256,928,457,330 "," 270,324,902,216 "," 283,275,046,025 "," 300,176,988,652 "," 42,819 "," 44,576 "," 45,697 "," 46,879 "," 48,085 "," 48,700 "," 50,153 "," 56,932 "," 59,304 "," 61,340 "," 62,798 "," 64,493 "," 65,196 "," 67,200 ",,,,,,,
10050,Albury," 26,948 "," 27,054 "," 27,381 "," 28,134 "," 28,814 "," 29,128 "," 29,898 ", 43 , 43 , 43 , 43 , 43 , 43 , 43 ," 1,330,000,000 "," 1,370,000,000 "," 1,430,000,000 "," 1,510,000,000 "," 1,570,000,000 "," 1,605,658,184 "," 1,686,539,002 "," 41,383 "," 42,556 "," 43,695 "," 44,586 "," 45,504 "," 46,426 "," 47,732 "," 49,398 "," 50,704 "," 52,204 "," 53,775 "," 54,388 "," 55,124 "," 56,410 ",,,,,,,
10130,Armidale Regional," 14,679 "," 14,623 "," 14,902 "," 15,124 "," 15,363 "," 15,535 "," 15,913 ", 45 , 46 , 46 , 45 , 45 , 45 , 44 ," 653,000,000 "," 670,000,000 "," 695,000,000 "," 743,000,000 "," 773,000,000 "," 790,489,496 "," 828,631,202 "," 36,245 "," 37,366 "," 38,249 "," 39,635 "," 40,733 "," 41,120 "," 42,220 "," 44,456 "," 45,799 "," 46,641 "," 49,109 "," 50,284 "," 50,884 "," 52,073 ",,,,,,,
10250,Ballina," 22,308 "," 22,240 "," 22,990 "," 23,555 "," 24,406 "," 24,983 "," 25,608 ", 48 , 49 , 49 , 49 , 48 , 49 , 48 ," 974,000,000 "," 1,030,000,000 "," 1,100,000,000 "," 1,160,000,000 "," 1,250,000,000 "," 1,283,199,357 "," 1,380,501,523 "," 34,565 "," 36,520 "," 37,741 "," 38,458 "," 39,782 "," 40,362 "," 42,246 "," 43,656 "," 46,253 "," 47,978 "," 49,223 "," 51,172 "," 51,363 "," 53,909 ",,,,,,,
10300,Balranald," 1,105 "," 1,130 "," 1,156 "," 1,147 "," 1,167 "," 1,217 "," 1,239 ", 46 , 45 , 45 , 46 , 45 , 46 , 45 ," 49,187,688 "," 49,504,846 "," 49,188,074 "," 54,157,835 "," 60,805,605 "," 64,438,357 "," 69,345,495 "," 36,824 "," 36,377 "," 38,656 "," 41,600 "," 42,282 "," 45,080 "," 46,868 "," 44,514 "," 43,810 "," 42,550 "," 47,217 "," 52,104 "," 52,949 "," 55,969 ",,,,,,,
10470,Bathurst Regional," 20,398 "," 20,543 "," 20,703 "," 21,192 "," 21,410 "," 21,746 "," 22,346 ", 43 , 43 , 44 , 44 , 44 , 44 , 44 ," 1,040,000,000 "," 1,080,000,000 "," 1,120,000,000 "," 1,180,000,000 "," 1,220,000,000 "," 1,238,441,585 "," 1,301,820,483 "," 43,341 "," 44,275 "," 45,164 "," 46,456 "," 47,746 "," 48,373 "," 49,633 "," 51,228 "," 52,736 "," 54,031 "," 55,531 "," 57,023 "," 56,950 "," 58,257 ",,,,,,,
10500,Bayside," 76,960 "," 78,583 "," 81,239 "," 86,552 "," 91,565 "," 97,071 "," 101,523 ", 40 , 40 , 40 , 39 , 38 , 38 , 37 ," 3,940,000,000 "," 4,180,000,000 "," 4,470,000,000 "," 4,860,000,000 "," 5,270,000,000 "," 5,654,078,254 "," 6,093,277,110 "," 42,957 "," 44,793 "," 45,985 "," 46,894 "," 47,809 "," 48,383 "," 49,445 "," 51,165 "," 53,234 "," 55,051 "," 56,194 "," 57,503 "," 58,247 "," 60,019 ",,,,,,,
10550,Bega Valley," 17,845 "," 17,726 "," 17,941 "," 18,447 "," 18,771 "," 19,301 "," 19,742 ", 50 , 51 , 51 , 51 , 51 , 51 , 51 ," 728,000,000 "," 748,000,000 "," 780,000,000 "," 822,000,000 "," 856,000,000 "," 887,567,368 "," 915,783,256 "," 33,355 "," 34,514 "," 35,737 "," 36,358 "," 37,270 "," 37,366 "," 38,318 "," 40,810 "," 42,171 "," 43,457 "," 44,538 "," 45,592 "," 45,986 "," 46,388 ",,,,,,,
